Date,Adj Close (USD),Close (USD),High (USD),Low (USD),Open (USD),Volume,ticker,industry,GDP (Bil. of $),CPI (Index 1982-1984=100)
2022-01-03,179.07656860351562,182.00999450683597,182.8800048828125,177.7100067138672,177.8300018310547,104487900,AAPL,Consumer Electronics,25215.491,282.39
2022-01-04,176.8037872314453,179.6999969482422,182.94000244140625,179.1199951171875,182.6300048828125,99310400,AAPL,Consumer Electronics,25215.491,282.39
2022-01-05,172.10084533691406,174.9199981689453,180.1699981689453,174.63999938964844,179.61000061035156,94537600,AAPL,Consumer Electronics,25215.491,282.39
2022-01-06,169.22792053222656,172.0,175.3000030517578,171.63999938964844,172.6999969482422,96904000,AAPL,Consumer Electronics,25215.491,282.39
2022-01-07,169.3951873779297,172.1699981689453,174.13999938964844,171.02999877929688,172.88999938964844,86709100,AAPL,Consumer Electronics,25215.491,282.39
2022-01-10,169.4148712158203,172.19000244140625,172.5,168.1699981689453,169.0800018310547,106765600,AAPL,Consumer Electronics,25215.491,282.39
2022-01-11,172.25830078125,175.0800018310547,175.17999267578125,170.82000732421875,172.32000732421875,76138300,AAPL,Consumer Electronics,25215.491,282.39
2022-01-12,172.70101928710938,175.52999877929688,177.17999267578125,174.82000732421875,176.1199951171875,74805200,AAPL,Consumer Electronics,25215.491,282.39
2022-01-13,169.4148712158203,172.19000244140625,176.6199951171875,171.7899932861328,175.77999877929688,84505800,AAPL,Consumer Electronics,25215.491,282.39
2022-01-14,170.28067016601562,173.07000732421875,173.77999877929688,171.08999633789062,171.33999633789062,80440800,AAPL,Consumer Electronics,25215.491,282.39
2022-01-18,167.06338500976562,169.8000030517578,172.5399932861328,169.41000366210938,171.50999450683594,90956700,AAPL,Consumer Electronics,25215.491,282.39
2022-01-19,163.55091857910156,166.22999572753906,171.0800018310547,165.94000244140625,170.0,94815000,AAPL,Consumer Electronics,25215.491,282.39
2022-01-20,161.85862731933594,164.50999450683594,169.67999267578125,164.17999267578125,166.97999572753906,91420500,AAPL,Consumer Electronics,25215.491,282.39
2022-01-21,159.79246520996094,162.41000366210938,166.3300018310547,162.3000030517578,164.4199981689453,122848900,AAPL,Consumer Electronics,25215.491,282.39
2022-01-24,159.01519775390625,161.6199951171875,162.3000030517578,154.6999969482422,160.02000427246094,162294600,AAPL,Consumer Electronics,25215.491,282.39
2022-01-25,157.2048797607422,159.77999877929688,162.75999450683594,157.02000427246094,158.97999572753906,115798400,AAPL,Consumer Electronics,25215.491,282.39
2022-01-26,157.11631774902344,159.69000244140625,164.38999938964844,157.82000732421875,163.5,108275300,AAPL,Consumer Electronics,25215.491,282.39
2022-01-27,156.65386962890625,159.22000122070312,163.83999633789062,158.27999877929688,162.4499969482422,121954600,AAPL,Consumer Electronics,25215.491,282.39
2022-01-28,167.5848388671875,170.3300018310547,170.35000610351562,162.8000030517578,165.7100067138672,179935700,AAPL,Consumer Electronics,25215.491,282.39
2022-01-31,171.963134765625,174.77999877929688,175.0,169.50999450683594,170.16000366210938,115541600,AAPL,Consumer Electronics,25215.491,282.39
2022-02-01,171.79588317871094,174.61000061035156,174.83999633789062,172.30999755859375,174.00999450683594,86213900,AAPL,Consumer Electronics,25215.491,284.535
2022-02-02,173.00604248046875,175.83999633789062,175.8800048828125,173.3300018310547,174.75,84914300,AAPL,Consumer Electronics,25215.491,284.535
2022-02-03,170.11338806152344,172.89999389648438,176.24000549316406,172.1199951171875,174.47999572753906,89418100,AAPL,Consumer Electronics,25215.491,284.535
2022-02-04,169.82772827148438,172.38999938964844,174.10000610351562,170.67999267578125,171.67999267578125,82465400,AAPL,Consumer Electronics,25215.491,284.535
2022-02-07,169.10858154296875,171.66000366210938,173.9499969482422,170.9499969482422,172.86000061035156,77251200,AAPL,Consumer Electronics,25215.491,284.535
2022-02-08,172.23147583007812,174.8300018310547,175.35000610351562,171.42999267578125,171.72999572753906,74829200,AAPL,Consumer Electronics,25215.491,284.535
2022-02-09,173.659912109375,176.27999877929688,176.64999389648438,174.89999389648438,176.0500030517578,71285000,AAPL,Consumer Electronics,25215.491,284.535
2022-02-10,169.56173706054688,172.1199951171875,175.47999572753906,171.5500030517578,174.13999938964844,90865900,AAPL,Consumer Electronics,25215.491,284.535
2022-02-11,166.13345336914062,168.63999938964844,173.0800018310547,168.0399932861328,172.3300018310547,98670700,AAPL,Consumer Electronics,25215.491,284.535
2022-02-14,166.3699188232422,168.8800048828125,169.5800018310547,166.55999755859375,167.3699951171875,86185500,AAPL,Consumer Electronics,25215.491,284.535
2022-02-15,170.22178649902344,172.7899932861328,172.9499969482422,170.25,170.97000122070312,62527400,AAPL,Consumer Electronics,25215.491,284.535
2022-02-16,169.98533630371094,172.5500030517578,173.33999633789062,170.0500030517578,171.85000610351562,61177400,AAPL,Consumer Electronics,25215.491,284.535
2022-02-17,166.3699188232422,168.8800048828125,171.91000366210938,168.47000122070312,171.02999877929688,69589300,AAPL,Consumer Electronics,25215.491,284.535
2022-02-18,164.81338500976562,167.3000030517578,170.5399932861328,166.19000244140625,169.82000732421875,82772700,AAPL,Consumer Electronics,25215.491,284.535
2022-02-22,161.87767028808594,164.32000732421875,166.69000244140625,162.14999389648438,164.97999572753906,91162800,AAPL,Consumer Electronics,25215.491,284.535
